"","type","batch"
"cell 1599","alpha","celseq2"
"cell 1600","alpha","celseq2"
"cell 1601","alpha","celseq2"
"cell 1602","alpha","celseq2"
"cell 1603","alpha","celseq2"
"cell 1604","alpha","celseq2"
"cell 1605","alpha","celseq2"
"cell 1606","alpha","celseq2"
"cell 1607","alpha","celseq2"
"cell 1608","alpha","celseq2"
"cell 1609","alpha","celseq2"
"cell 1610","alpha","celseq2"
"cell 1611","alpha","celseq2"
"cell 1612","alpha","celseq2"
"cell 1613","alpha","celseq2"
"cell 1614","alpha","celseq2"
"cell 1615","alpha","celseq2"
"cell 1616","alpha","celseq2"
"cell 1617","alpha","celseq2"
"cell 1618","alpha","celseq2"
"cell 1619","alpha","celseq2"
"cell 1620","alpha","celseq2"
"cell 1621","alpha","celseq2"
"cell 1622","alpha","celseq2"
"cell 1623","alpha","celseq2"
"cell 1624","alpha","celseq2"
"cell 1625","alpha","celseq2"
"cell 1626","alpha","celseq2"
"cell 1627","alpha","celseq2"
"cell 1628","alpha","celseq2"
"cell 1629","alpha","celseq2"
"cell 1630","alpha","celseq2"
"cell 1631","alpha","celseq2"
"cell 1632","alpha","celseq2"
"cell 1633","alpha","celseq2"
"cell 1634","alpha","celseq2"
"cell 1635","alpha","celseq2"
"cell 1636","alpha","celseq2"
"cell 1637","alpha","celseq2"
"cell 1638","alpha","celseq2"
"cell 1639","alpha","celseq2"
"cell 1640","alpha","celseq2"
"cell 1641","alpha","celseq2"
"cell 1642","alpha","celseq2"
"cell 1643","alpha","celseq2"
"cell 1644","alpha","celseq2"
"cell 1645","alpha","celseq2"
"cell 1646","alpha","celseq2"
"cell 1647","alpha","celseq2"
"cell 1648","alpha","celseq2"
"cell 1649","alpha","celseq2"
"cell 1650","alpha","celseq2"
"cell 1651","alpha","celseq2"
"cell 1652","alpha","celseq2"
"cell 1653","alpha","celseq2"
"cell 1654","alpha","celseq2"
"cell 1655","alpha","celseq2"
"cell 1656","alpha","celseq2"
"cell 1657","alpha","celseq2"
"cell 1658","alpha","celseq2"
"cell 1659","alpha","celseq2"
"cell 1660","alpha","celseq2"
"cell 1661","alpha","celseq2"
"cell 1662","alpha","celseq2"
"cell 1663","alpha","celseq2"
"cell 1664","alpha","celseq2"
"cell 1665","alpha","celseq2"
"cell 1666","alpha","celseq2"
"cell 1667","alpha","celseq2"
"cell 1668","alpha","celseq2"
"cell 1669","alpha","celseq2"
"cell 1670","alpha","celseq2"
"cell 1671","alpha","celseq2"
"cell 1672","alpha","celseq2"
"cell 1673","alpha","celseq2"
"cell 1674","alpha","celseq2"
"cell 1675","alpha","celseq2"
"cell 1676","alpha","celseq2"
"cell 1677","alpha","celseq2"
"cell 1678","alpha","celseq2"
"cell 1679","alpha","celseq2"
"cell 1680","alpha","celseq2"
"cell 1681","alpha","celseq2"
"cell 1682","alpha","celseq2"
"cell 1683","alpha","celseq2"
"cell 1684","alpha","celseq2"
"cell 1685","alpha","celseq2"
"cell 1686","alpha","celseq2"
"cell 1687","alpha","celseq2"
"cell 1688","alpha","celseq2"
"cell 1689","alpha","celseq2"
"cell 1690","alpha","celseq2"
"cell 1691","alpha","celseq2"
"cell 1692","alpha","celseq2"
"cell 1693","alpha","celseq2"
"cell 1694","alpha","celseq2"
"cell 1695","alpha","celseq2"
"cell 1696","alpha","celseq2"
"cell 1697","alpha","celseq2"
"cell 1698","alpha","celseq2"
"cell 1699","alpha","celseq2"
"cell 1700","alpha","celseq2"
"cell 1701","alpha","celseq2"
"cell 1702","alpha","celseq2"
"cell 1703","alpha","celseq2"
"cell 1704","alpha","celseq2"
"cell 1705","alpha","celseq2"
"cell 1706","alpha","celseq2"
"cell 1707","alpha","celseq2"
"cell 1708","alpha","celseq2"
"cell 1709","alpha","celseq2"
"cell 1710","alpha","celseq2"
"cell 1711","alpha","celseq2"
"cell 1712","alpha","celseq2"
"cell 1713","alpha","celseq2"
"cell 1714","alpha","celseq2"
"cell 1715","alpha","celseq2"
"cell 1716","alpha","celseq2"
"cell 1717","alpha","celseq2"
"cell 1718","alpha","celseq2"
"cell 1719","alpha","celseq2"
"cell 1720","alpha","celseq2"
"cell 1721","alpha","celseq2"
"cell 1722","alpha","celseq2"
"cell 1723","alpha","celseq2"
"cell 1724","alpha","celseq2"
"cell 1725","alpha","celseq2"
"cell 1726","alpha","celseq2"
"cell 1727","alpha","celseq2"
"cell 1728","alpha","celseq2"
"cell 1729","alpha","celseq2"
"cell 1730","alpha","celseq2"
"cell 1731","alpha","celseq2"
"cell 1732","alpha","celseq2"
"cell 1733","alpha","celseq2"
"cell 1734","alpha","celseq2"
"cell 1735","alpha","celseq2"
"cell 1736","alpha","celseq2"
"cell 1737","alpha","celseq2"
"cell 1738","alpha","celseq2"
"cell 1739","alpha","celseq2"
"cell 1740","alpha","celseq2"
"cell 1741","alpha","celseq2"
"cell 1742","alpha","celseq2"
"cell 1743","alpha","celseq2"
"cell 1744","alpha","celseq2"
"cell 1745","alpha","celseq2"
"cell 1746","alpha","celseq2"
"cell 1747","alpha","celseq2"
"cell 1748","alpha","celseq2"
"cell 1749","alpha","celseq2"
"cell 1750","alpha","celseq2"
"cell 1751","alpha","celseq2"
"cell 1752","alpha","celseq2"
"cell 1753","alpha","celseq2"
"cell 1754","alpha","celseq2"
"cell 1755","alpha","celseq2"
"cell 1756","alpha","celseq2"
"cell 1757","alpha","celseq2"
"cell 1758","alpha","celseq2"
"cell 1759","alpha","celseq2"
"cell 1760","alpha","celseq2"
"cell 1761","alpha","celseq2"
"cell 1762","alpha","celseq2"
"cell 1763","alpha","celseq2"
"cell 1764","alpha","celseq2"
"cell 1765","alpha","celseq2"
"cell 1766","alpha","celseq2"
"cell 1767","alpha","celseq2"
"cell 1768","alpha","celseq2"
"cell 1769","alpha","celseq2"
"cell 1770","alpha","celseq2"
"cell 1771","alpha","celseq2"
"cell 1772","alpha","celseq2"
"cell 1773","alpha","celseq2"
"cell 1774","alpha","celseq2"
"cell 1775","alpha","celseq2"
"cell 1776","alpha","celseq2"
"cell 1777","alpha","celseq2"
"cell 1778","alpha","celseq2"
"cell 1779","alpha","celseq2"
"cell 1780","alpha","celseq2"
"cell 1781","alpha","celseq2"
"cell 1782","alpha","celseq2"
"cell 1783","alpha","celseq2"
"cell 1784","alpha","celseq2"
"cell 1785","alpha","celseq2"
"cell 1786","alpha","celseq2"
"cell 1787","alpha","celseq2"
"cell 1788","alpha","celseq2"
"cell 1789","alpha","celseq2"
"cell 1790","alpha","celseq2"
"cell 1791","alpha","celseq2"
"cell 1792","alpha","celseq2"
"cell 1793","alpha","celseq2"
"cell 1794","alpha","celseq2"
"cell 1795","alpha","celseq2"
"cell 1796","alpha","celseq2"
"cell 1797","alpha","celseq2"
"cell 1798","alpha","celseq2"
"cell 1799","alpha","celseq2"
"cell 1800","alpha","celseq2"
"cell 1801","alpha","celseq2"
"cell 1802","alpha","celseq2"
"cell 1803","alpha","celseq2"
"cell 1804","alpha","celseq2"
"cell 1805","alpha","celseq2"
"cell 1806","alpha","celseq2"
"cell 1807","alpha","celseq2"
"cell 1808","alpha","celseq2"
"cell 1809","alpha","celseq2"
"cell 1810","alpha","celseq2"
"cell 1811","alpha","celseq2"
"cell 1812","alpha","celseq2"
"cell 1813","alpha","celseq2"
"cell 1814","alpha","celseq2"
"cell 1815","alpha","celseq2"
"cell 1816","alpha","celseq2"
"cell 1817","alpha","celseq2"
"cell 1818","alpha","celseq2"
"cell 1819","alpha","celseq2"
"cell 1820","alpha","celseq2"
"cell 1821","alpha","celseq2"
"cell 1822","alpha","celseq2"
"cell 1823","alpha","celseq2"
"cell 1824","alpha","celseq2"
"cell 1825","alpha","celseq2"
"cell 1826","alpha","celseq2"
"cell 1827","alpha","celseq2"
"cell 1828","alpha","celseq2"
"cell 1829","alpha","celseq2"
"cell 1830","alpha","celseq2"
"cell 1831","alpha","celseq2"
"cell 1832","alpha","celseq2"
"cell 1833","alpha","celseq2"
"cell 1834","alpha","celseq2"
"cell 1835","alpha","celseq2"
"cell 1836","alpha","celseq2"
"cell 1837","alpha","celseq2"
"cell 1838","alpha","celseq2"
"cell 1839","alpha","celseq2"
"cell 1840","alpha","celseq2"
"cell 1841","alpha","celseq2"
"cell 1842","alpha","celseq2"
"cell 1843","alpha","celseq2"
"cell 1844","alpha","celseq2"
"cell 1845","alpha","celseq2"
"cell 1846","alpha","celseq2"
"cell 1847","alpha","celseq2"
"cell 1848","alpha","celseq2"
"cell 1849","alpha","celseq2"
"cell 1850","alpha","celseq2"
"cell 1851","alpha","celseq2"
"cell 1852","alpha","celseq2"
"cell 1853","alpha","celseq2"
"cell 1854","alpha","celseq2"
"cell 1855","alpha","celseq2"
"cell 1856","alpha","celseq2"
"cell 1857","alpha","celseq2"
"cell 1858","alpha","celseq2"
"cell 1859","alpha","celseq2"
"cell 1860","alpha","celseq2"
"cell 1861","alpha","celseq2"
"cell 1862","alpha","celseq2"
"cell 1863","alpha","celseq2"
"cell 1864","alpha","celseq2"
"cell 1865","alpha","celseq2"
"cell 1866","alpha","celseq2"
"cell 1867","alpha","celseq2"
"cell 1868","alpha","celseq2"
"cell 1869","alpha","celseq2"
"cell 1870","alpha","celseq2"
"cell 1871","alpha","celseq2"
"cell 1872","alpha","celseq2"
"cell 1873","alpha","celseq2"
"cell 1874","alpha","celseq2"
"cell 1875","alpha","celseq2"
"cell 1876","alpha","celseq2"
"cell 1877","alpha","celseq2"
"cell 1878","alpha","celseq2"
"cell 1879","alpha","celseq2"
"cell 1880","alpha","celseq2"
"cell 1881","alpha","celseq2"
"cell 1882","alpha","celseq2"
"cell 1883","alpha","celseq2"
"cell 1884","alpha","celseq2"
"cell 1885","alpha","celseq2"
"cell 1886","alpha","celseq2"
"cell 1887","alpha","celseq2"
"cell 1888","alpha","celseq2"
"cell 1889","alpha","celseq2"
"cell 1890","alpha","celseq2"
"cell 1891","alpha","celseq2"
"cell 1892","alpha","celseq2"
"cell 1893","alpha","celseq2"
"cell 1894","alpha","celseq2"
"cell 1895","alpha","celseq2"
"cell 1896","alpha","celseq2"
"cell 1897","alpha","celseq2"
"cell 1898","alpha","celseq2"
"cell 1899","alpha","celseq2"
"cell 1900","alpha","celseq2"
"cell 1901","alpha","celseq2"
"cell 1902","alpha","celseq2"
"cell 1903","alpha","celseq2"
"cell 1904","alpha","celseq2"
"cell 1905","alpha","celseq2"
"cell 1906","alpha","celseq2"
"cell 1907","alpha","celseq2"
"cell 1908","alpha","celseq2"
"cell 1909","alpha","celseq2"
"cell 1910","alpha","celseq2"
"cell 1911","alpha","celseq2"
"cell 1912","alpha","celseq2"
"cell 1913","alpha","celseq2"
"cell 1914","alpha","celseq2"
"cell 1915","alpha","celseq2"
"cell 1916","alpha","celseq2"
"cell 1917","alpha","celseq2"
"cell 1918","alpha","celseq2"
"cell 1919","alpha","celseq2"
"cell 1920","alpha","celseq2"
"cell 1921","alpha","celseq2"
"cell 1922","alpha","celseq2"
"cell 1923","alpha","celseq2"
"cell 1924","alpha","celseq2"
"cell 1925","alpha","celseq2"
"cell 1926","alpha","celseq2"
"cell 1927","alpha","celseq2"
"cell 1928","alpha","celseq2"
"cell 1929","alpha","celseq2"
"cell 1930","alpha","celseq2"
"cell 1931","alpha","celseq2"
"cell 1932","alpha","celseq2"
"cell 1933","alpha","celseq2"
"cell 1934","alpha","celseq2"
"cell 1935","alpha","celseq2"
"cell 1936","alpha","celseq2"
"cell 1937","alpha","celseq2"
"cell 1938","alpha","celseq2"
"cell 1939","alpha","celseq2"
"cell 1940","alpha","celseq2"
"cell 1941","alpha","celseq2"
"cell 1942","alpha","celseq2"
"cell 1943","alpha","celseq2"
"cell 1944","alpha","celseq2"
"cell 1945","alpha","celseq2"
"cell 1946","alpha","celseq2"
"cell 1947","alpha","celseq2"
"cell 1948","alpha","celseq2"
"cell 1949","alpha","celseq2"
"cell 1950","alpha","celseq2"
"cell 1951","alpha","celseq2"
"cell 1952","alpha","celseq2"
"cell 1953","alpha","celseq2"
"cell 1954","alpha","celseq2"
"cell 1955","alpha","celseq2"
"cell 1956","alpha","celseq2"
"cell 1957","alpha","celseq2"
"cell 1958","alpha","celseq2"
"cell 1959","alpha","celseq2"
"cell 1960","alpha","celseq2"
"cell 1961","alpha","celseq2"
"cell 1962","alpha","celseq2"
"cell 1963","alpha","celseq2"
"cell 1964","alpha","celseq2"
"cell 1965","alpha","celseq2"
"cell 1966","alpha","celseq2"
"cell 1967","alpha","celseq2"
"cell 1968","alpha","celseq2"
"cell 1969","alpha","celseq2"
"cell 1970","alpha","celseq2"
"cell 1971","alpha","celseq2"
"cell 1972","alpha","celseq2"
"cell 1973","alpha","celseq2"
"cell 1974","alpha","celseq2"
"cell 1975","alpha","celseq2"
"cell 1976","alpha","celseq2"
"cell 1977","alpha","celseq2"
"cell 1978","alpha","celseq2"
"cell 1979","alpha","celseq2"
"cell 1980","alpha","celseq2"
"cell 1981","alpha","celseq2"
"cell 1982","alpha","celseq2"
"cell 1983","alpha","celseq2"
"cell 1984","alpha","celseq2"
"cell 1985","alpha","celseq2"
"cell 1986","alpha","celseq2"
"cell 1987","alpha","celseq2"
"cell 1988","alpha","celseq2"
"cell 1989","alpha","celseq2"
"cell 1990","alpha","celseq2"
"cell 1991","alpha","celseq2"
"cell 1992","alpha","celseq2"
"cell 1993","alpha","celseq2"
"cell 1994","alpha","celseq2"
"cell 1995","alpha","celseq2"
"cell 1996","alpha","celseq2"
"cell 1997","alpha","celseq2"
"cell 1998","alpha","celseq2"
"cell 1999","alpha","celseq2"
"cell 2000","alpha","celseq2"
"cell 2001","alpha","celseq2"
"cell 2002","alpha","celseq2"
"cell 2003","alpha","celseq2"
"cell 2004","alpha","celseq2"
"cell 2005","alpha","celseq2"
"cell 2006","alpha","celseq2"
"cell 2007","alpha","celseq2"
"cell 2008","alpha","celseq2"
"cell 2009","alpha","celseq2"
"cell 2010","alpha","celseq2"
"cell 2011","alpha","celseq2"
"cell 2012","alpha","celseq2"
"cell 2013","alpha","celseq2"
"cell 2014","alpha","celseq2"
"cell 2015","alpha","celseq2"
"cell 2016","alpha","celseq2"
"cell 2017","alpha","celseq2"
"cell 2018","alpha","celseq2"
"cell 2019","alpha","celseq2"
"cell 2020","alpha","celseq2"
"cell 2021","alpha","celseq2"
"cell 2022","alpha","celseq2"
"cell 2023","alpha","celseq2"
"cell 2024","alpha","celseq2"
"cell 2025","alpha","celseq2"
"cell 2026","alpha","celseq2"
"cell 2027","alpha","celseq2"
"cell 2028","alpha","celseq2"
"cell 2029","alpha","celseq2"
"cell 2030","alpha","celseq2"
"cell 2031","alpha","celseq2"
"cell 2032","alpha","celseq2"
"cell 2033","alpha","celseq2"
"cell 2034","alpha","celseq2"
"cell 2035","alpha","celseq2"
"cell 2036","alpha","celseq2"
"cell 2037","alpha","celseq2"
"cell 2038","alpha","celseq2"
"cell 2039","alpha","celseq2"
"cell 2040","alpha","celseq2"
"cell 2041","alpha","celseq2"
"cell 2042","alpha","celseq2"
"cell 2043","alpha","celseq2"
"cell 2044","alpha","celseq2"
"cell 2045","alpha","celseq2"
"cell 2046","alpha","celseq2"
"cell 2047","alpha","celseq2"
"cell 2048","alpha","celseq2"
"cell 2049","alpha","celseq2"
"cell 2050","alpha","celseq2"
"cell 2051","alpha","celseq2"
"cell 2052","alpha","celseq2"
"cell 2053","alpha","celseq2"
"cell 2054","alpha","celseq2"
"cell 2055","alpha","celseq2"
"cell 2056","alpha","celseq2"
"cell 2057","alpha","celseq2"
"cell 2058","alpha","celseq2"
"cell 2059","alpha","celseq2"
"cell 2060","alpha","celseq2"
"cell 2061","alpha","celseq2"
"cell 2062","alpha","celseq2"
"cell 2063","alpha","celseq2"
"cell 2064","alpha","celseq2"
"cell 2065","alpha","celseq2"
"cell 2066","alpha","celseq2"
"cell 2067","alpha","celseq2"
"cell 2068","alpha","celseq2"
"cell 2069","alpha","celseq2"
"cell 2070","alpha","celseq2"
"cell 2071","alpha","celseq2"
"cell 2072","alpha","celseq2"
"cell 2073","alpha","celseq2"
"cell 2074","alpha","celseq2"
"cell 2075","alpha","celseq2"
"cell 2076","alpha","celseq2"
"cell 2077","alpha","celseq2"
"cell 2078","alpha","celseq2"
"cell 2079","alpha","celseq2"
"cell 2080","alpha","celseq2"
"cell 2081","alpha","celseq2"
"cell 2082","alpha","celseq2"
"cell 2083","alpha","celseq2"
"cell 2084","alpha","celseq2"
"cell 2085","alpha","celseq2"
"cell 2086","alpha","celseq2"
"cell 2087","alpha","celseq2"
"cell 2088","alpha","celseq2"
"cell 2089","alpha","celseq2"
"cell 2090","alpha","celseq2"
"cell 2091","alpha","celseq2"
"cell 2092","alpha","celseq2"
"cell 2093","beta","celseq2"
"cell 2094","beta","celseq2"
"cell 2095","beta","celseq2"
"cell 2096","beta","celseq2"
"cell 2097","beta","celseq2"
"cell 2098","beta","celseq2"
"cell 2099","beta","celseq2"
"cell 2100","beta","celseq2"
"cell 2101","beta","celseq2"
"cell 2102","beta","celseq2"
"cell 2103","beta","celseq2"
"cell 2104","beta","celseq2"
"cell 2105","beta","celseq2"
"cell 2106","beta","celseq2"
"cell 2107","beta","celseq2"
"cell 2108","beta","celseq2"
"cell 2109","beta","celseq2"
"cell 2110","beta","celseq2"
"cell 2111","beta","celseq2"
"cell 2112","beta","celseq2"
"cell 2113","beta","celseq2"
"cell 2114","beta","celseq2"
"cell 2115","beta","celseq2"
"cell 2116","beta","celseq2"
"cell 2117","beta","celseq2"
"cell 2118","beta","celseq2"
"cell 2119","beta","celseq2"
"cell 2120","beta","celseq2"
"cell 2121","beta","celseq2"
"cell 2122","beta","celseq2"
"cell 2123","beta","celseq2"
"cell 2124","beta","celseq2"
"cell 2125","beta","celseq2"
"cell 2126","beta","celseq2"
"cell 2127","beta","celseq2"
"cell 2128","beta","celseq2"
"cell 2129","beta","celseq2"
"cell 2130","beta","celseq2"
"cell 2131","beta","celseq2"
"cell 2132","beta","celseq2"
"cell 2133","beta","celseq2"
"cell 2134","beta","celseq2"
"cell 2135","beta","celseq2"
"cell 2136","beta","celseq2"
"cell 2137","beta","celseq2"
"cell 2138","beta","celseq2"
"cell 2139","beta","celseq2"
"cell 2140","beta","celseq2"
"cell 2141","beta","celseq2"
"cell 2142","beta","celseq2"
"cell 2143","beta","celseq2"
"cell 2144","beta","celseq2"
"cell 2145","beta","celseq2"
"cell 2146","beta","celseq2"
"cell 2147","beta","celseq2"
"cell 2148","beta","celseq2"
"cell 2149","beta","celseq2"
"cell 2150","beta","celseq2"
"cell 2151","beta","celseq2"
"cell 2152","beta","celseq2"
"cell 2153","beta","celseq2"
"cell 2154","beta","celseq2"
"cell 2155","beta","celseq2"
"cell 2156","beta","celseq2"
"cell 2157","beta","celseq2"
"cell 2158","beta","celseq2"
"cell 2159","beta","celseq2"
"cell 2160","beta","celseq2"
"cell 2161","beta","celseq2"
"cell 2162","beta","celseq2"
"cell 2163","beta","celseq2"
"cell 2164","beta","celseq2"
"cell 2165","beta","celseq2"
"cell 2166","beta","celseq2"
"cell 2167","beta","celseq2"
"cell 2168","beta","celseq2"
"cell 2169","beta","celseq2"
"cell 2170","beta","celseq2"
"cell 2171","beta","celseq2"
"cell 2172","beta","celseq2"
"cell 2173","beta","celseq2"
"cell 2174","beta","celseq2"
"cell 2175","beta","celseq2"
"cell 2176","beta","celseq2"
"cell 2177","beta","celseq2"
"cell 2178","beta","celseq2"
"cell 2179","beta","celseq2"
"cell 2180","beta","celseq2"
"cell 2181","beta","celseq2"
"cell 2182","beta","celseq2"
"cell 2183","beta","celseq2"
"cell 2184","beta","celseq2"
"cell 2185","beta","celseq2"
"cell 2186","beta","celseq2"
"cell 2187","beta","celseq2"
"cell 2188","beta","celseq2"
"cell 2189","beta","celseq2"
"cell 2190","beta","celseq2"
"cell 2191","beta","celseq2"
"cell 2192","beta","celseq2"
"cell 2193","beta","celseq2"
"cell 2194","beta","celseq2"
"cell 2195","beta","celseq2"
"cell 2196","beta","celseq2"
"cell 2197","beta","celseq2"
"cell 2198","beta","celseq2"
"cell 2199","beta","celseq2"
"cell 2200","beta","celseq2"
"cell 2201","beta","celseq2"
"cell 2202","beta","celseq2"
"cell 2203","beta","celseq2"
"cell 2204","beta","celseq2"
"cell 2205","beta","celseq2"
"cell 2206","beta","celseq2"
"cell 2207","beta","celseq2"
"cell 2208","beta","celseq2"
"cell 2209","beta","celseq2"
"cell 2210","beta","celseq2"
"cell 2211","beta","celseq2"
"cell 2212","beta","celseq2"
"cell 2213","beta","celseq2"
"cell 2214","beta","celseq2"
"cell 2215","beta","celseq2"
"cell 2216","beta","celseq2"
"cell 2217","beta","celseq2"
"cell 2218","beta","celseq2"
"cell 2219","beta","celseq2"
"cell 2220","beta","celseq2"
"cell 2221","beta","celseq2"
"cell 2222","beta","celseq2"
"cell 2223","beta","celseq2"
"cell 2224","beta","celseq2"
"cell 2225","beta","celseq2"
"cell 2226","beta","celseq2"
"cell 2227","beta","celseq2"
"cell 2228","beta","celseq2"
"cell 2229","beta","celseq2"
"cell 2230","beta","celseq2"
"cell 2231","beta","celseq2"
"cell 2232","beta","celseq2"
"cell 2233","beta","celseq2"
"cell 2234","beta","celseq2"
"cell 2235","beta","celseq2"
"cell 2236","beta","celseq2"
"cell 2237","beta","celseq2"
"cell 2238","beta","celseq2"
"cell 2239","beta","celseq2"
"cell 2240","beta","celseq2"
"cell 2241","beta","celseq2"
"cell 2242","beta","celseq2"
"cell 2243","beta","celseq2"
"cell 2244","beta","celseq2"
"cell 2245","beta","celseq2"
"cell 2246","beta","celseq2"
"cell 2247","beta","celseq2"
"cell 2248","beta","celseq2"
"cell 2249","beta","celseq2"
"cell 2250","beta","celseq2"
"cell 2251","beta","celseq2"
"cell 2252","beta","celseq2"
"cell 2253","beta","celseq2"
"cell 2254","beta","celseq2"
"cell 2255","beta","celseq2"
"cell 2256","beta","celseq2"
"cell 2257","beta","celseq2"
"cell 2258","beta","celseq2"
"cell 2259","beta","celseq2"
"cell 2260","beta","celseq2"
"cell 2261","beta","celseq2"
"cell 2262","beta","celseq2"
"cell 2263","beta","celseq2"
"cell 2264","beta","celseq2"
"cell 2265","beta","celseq2"
"cell 2266","beta","celseq2"
"cell 2267","beta","celseq2"
"cell 2268","beta","celseq2"
"cell 2269","beta","celseq2"
"cell 2270","beta","celseq2"
"cell 2271","beta","celseq2"
"cell 2272","beta","celseq2"
"cell 2273","beta","celseq2"
"cell 2274","beta","celseq2"
"cell 2275","beta","celseq2"
"cell 2276","beta","celseq2"
"cell 2277","beta","celseq2"
"cell 2278","beta","celseq2"
"cell 2279","beta","celseq2"
"cell 2280","beta","celseq2"
"cell 2281","beta","celseq2"
"cell 2282","beta","celseq2"
"cell 2283","beta","celseq2"
"cell 2284","beta","celseq2"
"cell 2285","beta","celseq2"
"cell 2286","beta","celseq2"
"cell 2287","beta","celseq2"
"cell 2288","beta","celseq2"
"cell 2289","beta","celseq2"
"cell 2290","beta","celseq2"
"cell 2291","beta","celseq2"
"cell 2292","beta","celseq2"
"cell 2293","beta","celseq2"
"cell 2294","beta","celseq2"
"cell 2295","beta","celseq2"
"cell 2296","beta","celseq2"
"cell 2297","beta","celseq2"
"cell 2298","beta","celseq2"
"cell 2299","beta","celseq2"
"cell 2300","beta","celseq2"
"cell 2301","beta","celseq2"
"cell 2302","beta","celseq2"
"cell 2303","beta","celseq2"
"cell 2304","beta","celseq2"
"cell 2305","beta","celseq2"
"cell 2306","beta","celseq2"
"cell 2307","beta","celseq2"
"cell 2308","beta","celseq2"
"cell 2309","beta","celseq2"
"cell 2310","beta","celseq2"
"cell 2311","beta","celseq2"
"cell 2312","beta","celseq2"
"cell 2313","beta","celseq2"
"cell 2314","beta","celseq2"
"cell 2315","beta","celseq2"
"cell 2316","beta","celseq2"
"cell 2317","beta","celseq2"
"cell 2318","beta","celseq2"
"cell 2319","beta","celseq2"
"cell 2320","beta","celseq2"
"cell 2321","beta","celseq2"
"cell 2322","beta","celseq2"
"cell 2323","beta","celseq2"
"cell 2324","beta","celseq2"
"cell 2325","beta","celseq2"
"cell 2326","beta","celseq2"
"cell 2327","beta","celseq2"
"cell 2328","beta","celseq2"
"cell 2329","beta","celseq2"
"cell 2330","beta","celseq2"
"cell 2331","beta","celseq2"
"cell 2332","beta","celseq2"
"cell 2333","beta","celseq2"
"cell 2334","beta","celseq2"
"cell 2335","beta","celseq2"
"cell 2336","beta","celseq2"
"cell 2337","beta","celseq2"
"cell 2338","beta","celseq2"
"cell 2339","beta","celseq2"
"cell 2340","beta","celseq2"
"cell 2341","beta","celseq2"
"cell 2342","beta","celseq2"
"cell 2343","beta","celseq2"
"cell 2344","beta","celseq2"
"cell 2345","beta","celseq2"
"cell 2346","beta","celseq2"
"cell 2347","beta","celseq2"
"cell 2348","beta","celseq2"
"cell 2349","beta","celseq2"
"cell 2350","beta","celseq2"
"cell 2351","beta","celseq2"
"cell 2352","beta","celseq2"
"cell 2353","beta","celseq2"
"cell 2354","beta","celseq2"
"cell 2355","beta","celseq2"
"cell 2356","beta","celseq2"
"cell 2357","beta","celseq2"
"cell 2358","beta","celseq2"
"cell 2359","beta","celseq2"
"cell 2360","beta","celseq2"
"cell 2361","beta","celseq2"
"cell 2362","beta","celseq2"
"cell 2363","beta","celseq2"
"cell 2364","beta","celseq2"
"cell 2365","beta","celseq2"
"cell 2366","beta","celseq2"
"cell 2367","beta","celseq2"
"cell 2368","beta","celseq2"
"cell 2369","beta","celseq2"
"cell 2370","beta","celseq2"
"cell 2371","beta","celseq2"
"cell 2372","beta","celseq2"
"cell 2373","beta","celseq2"
"cell 2374","beta","celseq2"
"cell 2375","beta","celseq2"
"cell 2376","beta","celseq2"
"cell 2377","beta","celseq2"
"cell 2378","beta","celseq2"
"cell 2379","beta","celseq2"
"cell 2380","beta","celseq2"
"cell 2381","beta","celseq2"
"cell 2382","beta","celseq2"
"cell 2383","beta","celseq2"
"cell 2384","beta","celseq2"
"cell 2385","beta","celseq2"
"cell 2386","beta","celseq2"
"cell 2387","beta","celseq2"
"cell 2388","beta","celseq2"
"cell 2389","beta","celseq2"
"cell 2390","beta","celseq2"
"cell 2391","beta","celseq2"
"cell 2392","beta","celseq2"
"cell 2393","beta","celseq2"
"cell 2394","beta","celseq2"
"cell 2395","beta","celseq2"
"cell 2396","beta","celseq2"
"cell 2397","beta","celseq2"
"cell 2398","beta","celseq2"
"cell 2399","beta","celseq2"
"cell 2400","beta","celseq2"
"cell 2401","beta","celseq2"
"cell 2402","beta","celseq2"
"cell 2403","beta","celseq2"
"cell 2404","beta","celseq2"
"cell 2405","beta","celseq2"
"cell 2406","beta","celseq2"
"cell 2407","beta","celseq2"
"cell 2408","beta","celseq2"
"cell 2409","beta","celseq2"
"cell 2410","beta","celseq2"
"cell 2411","beta","celseq2"
"cell 2412","beta","celseq2"
"cell 2413","beta","celseq2"
"cell 2414","beta","celseq2"
"cell 2415","beta","celseq2"
"cell 2416","beta","celseq2"
"cell 2417","beta","celseq2"
"cell 2418","beta","celseq2"
"cell 2419","beta","celseq2"
"cell 2420","beta","celseq2"
"cell 2421","beta","celseq2"
"cell 2422","beta","celseq2"
"cell 2423","beta","celseq2"
"cell 2424","beta","celseq2"
"cell 2425","beta","celseq2"
"cell 2426","beta","celseq2"
"cell 2427","beta","celseq2"
"cell 2428","beta","celseq2"
"cell 2429","beta","celseq2"
"cell 2430","beta","celseq2"
"cell 2431","beta","celseq2"
"cell 2432","beta","celseq2"
"cell 2433","beta","celseq2"
"cell 2434","beta","celseq2"
"cell 2435","beta","celseq2"
"cell 2436","beta","celseq2"
"cell 2437","beta","celseq2"
"cell 2438","beta","celseq2"
"cell 2439","beta","celseq2"
"cell 2440","beta","celseq2"
"cell 2441","beta","celseq2"
